messbeginn,messende,standort,parameter,messwert,messwert_zahlenformat,3_dezimalstellen_messwert,4_dezimalstellen_messwert,5_dezimalstellen_messwert,interventionswert,interventionswert_3_dez,warnwert,warnwert_3_dez,einheit,messmethode
2023-05-09,2023-05-23,ROSEN 2,∑PAK,0.0002,0.0002,0.0002,0.0002,0.0002,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-05-09,2023-05-23,ROSEN 3,∑PAK,0.0002,0.0002,0.0002,0.0002,0.0002,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 4,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,Zink,0.016,0.016,0.016,0.016,0.016,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,Quecksilber,1e-05,1e-05,1e-05,1e-05,1e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 3,Quecksilber,1e-05,1e-05,1e-05,1e-05,1e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 2,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 1,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 3,Benzo(a)pyren,1e-05,1e-05,1e-05,1e-05,1e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-05-23,2023-06-06,ROSEN 4,Benzo(a)pyren,2e-05,2e-05,2e-05,2e-05,2e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 1,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 4,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 2,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 4,Quecksilber,1e-05,1e-05,1e-05,1e-05,1e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 3,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-06-06,2023-06-20,ROSEN 4,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 2,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 2,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 4,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 1,Zink,0.044,0.044,0.044,0.044,0.044,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 3,Zink,0.038,0.038,0.038,0.038,0.038,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 2,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 3,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-06-20,2023-07-04,ROSEN 4,Benzo(a)pyren,1e-05,1e-05,1e-05,1e-05,1e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 3,PM 10,18,18.0,18.0,18.0,18.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 1,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 3,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 1,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 2,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 3,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 2,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 3,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 4,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 2,Zink,0.006,0.006,0.006,0.006,0.006,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 4,Zink,0.014,0.014,0.014,0.014,0.014,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 2,Quecksilber,0,0.0,0.0,0.0,0.0,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 4,∑PAK,0.0002,0.0002,0.0002,0.0002,0.0002,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-07-04,2023-07-18,ROSEN 3,Benzo(a)pyren,1e-05,1e-05,1e-05,1e-05,1e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 1,PM 10,9,9.0,9.0,9.0,9.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 2,PM 10,9,9.0,9.0,9.0,9.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,PM 10,16,16.0,16.0,16.0,16.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 4,PM 10,12,12.0,12.0,12.0,12.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 4,Blei,0.006,0.006,0.006,0.006,0.006,0.5,0.5,0.25,0.25,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 1,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 2,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 4,Zink,0.018,0.018,0.018,0.018,0.018,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,Quecksilber,1e-05,1e-05,1e-05,1e-05,1e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 1,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 2,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 1,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 4,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-07-18,2023-08-03,ROSEN 3,Benzo(a)pyren,1e-05,1e-05,1e-05,1e-05,1e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 4,PM 10,11,11.0,11.0,11.0,11.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 3,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 2,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 3,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 4,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 3,Zink,0.032,0.032,0.032,0.032,0.032,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,Quecksilber,4e-06,4e-06,4e-06,4e-06,4e-06,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 2,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 3,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 3,∑PAK,0.0001,0.0001,0.0001,0.0001,0.0001,10.0,10.0,5.0,5.0,µg/m3,Gravimetrie
2023-08-03,2023-08-15,ROSEN 1,Benzo(a)pyren,1e-05,1e-05,1e-05,1e-05,1e-05,0.001,0.001,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 1,PM 10,,,,,,20.0,20.0,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 3,PM 10,24,24.0,24.0,24.0,24.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 4,PM 10,19,19.0,19.0,19.0,19.0,20.0,20.0,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 2,Arsen,0.001,0.001,0.001,0.001,0.001,0.006,0.006,0.003,0.003,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 3,Nickel,0.006,0.006,0.006,0.006,0.006,0.02,0.02,0.01,0.01,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 1,Cadmium,,,,,,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 4,Cadmium,0.001,0.001,0.001,0.001,0.001,0.0015,0.0015,,,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 2,Zink,0.013,0.013,0.013,0.013,0.013,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 4,Zink,0.018,0.018,0.018,0.018,0.018,2.0,2.0,1.0,1.0,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 1,Quecksilber,,,,,,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 3,Quecksilber,1e-05,1e-05,1e-05,1e-05,1e-05,0.035,0.035,0.018,0.018,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 3,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
2023-08-15,2023-08-29,ROSEN 4,Chrom,0.006,0.006,0.006,0.006,0.006,0.017,0.017,0.009,0.009,µg/m3,Gravimetrie
